0 ; POP ; ALIGN 4 ; ClassTable:,Class Name,Class Description,Class Number,Default Promotion,Map # (standing),Walking Speed,Default Portrait,***UNKNOWN***,***UNKNOWN***,Base HP,Base STR/MGC,Base SKL,Base SPD,Base DEF,Base MDF,Base CON,Base MOV,Max HP,Max STR/MGC,Max SKL,Max SPD,Max DEF,Max MDF,Max CON,Class Relative Power,HP Growth,STR/MGC Growth,SKL Growth,SPD Growth,DEF Growth,MDF Growth,LUK Growth,HP Promotion Bonus,STR/MGC Promotion Bonus,SKL Promotion Bonus,SPD Promotion Bonus,DEF Promotion Bonus,MDF Promotion Bonus,Class Ability 1,Class Ability 2,Class Ability 3,Class Ability 4,Base Sword Level,Base Spear Level,Base Axe Level,Base Bow Level,Base Staff Level,Base Anim|IsPointera Level,Base Light Level,Base Dark Level,Battle Anim|IsPointer Pointer,Movement Type Pointer,Movement Cost(rain) Pointer,Movement Cost(snow) Pointer,Terrain defence bonus,Terrain avoid bonus,Terrain resistance bonus,***UNKNOWN*** Pointer
Armour Knight (F),0x2c3,0x30f,0xa,0xc,0x6,1,0x76,0x0,0xc,16,4,3,1,8,1,10,4,60,20,20,20,20,20,20,2,80,40,30,15,28,20,25,2,1,1,1,2,0,0x0,0x0,0x0,0x0,0,31,0,0,0,0,0,0,0x88af054,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
General,0x2c4,0x310,0xb,0x9,0x7,1,0x77,0x0,0xd,21,8,4,3,13,3,15,5,60,29,27,24,30,25,25,3,75,30,20,10,23,25,20,4,2,2,3,2,3,0x0,0x1,0x0,0x0,1,71,1,0,0,0,0,0,0x88af060,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
General (F),0x2c4,0x310,0xc,0xa,0x7,1,0x77,0x0,0xd,20,8,5,5,11,4,11,5,60,27,28,25,29,26,25,3,75,30,25,10,23,25,20,3,2,3,2,3,3,0x0,0x1,0x0,0x0,1,71,1,0,0,0,0,0,0x88af080,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
Thief,0x2c5,0x311,0xd,0x17,0x8,0,0x8e,0x0,0x7,16,3,1,9,2,0,6,6,60,20,20,20,20,20,20,2,50,5,45,40,5,20,40,0,0,0,0,0,0,0xc,0x0,0x0,0x0,1,0,0,0,0,0,0,0,0x88af0a0,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
Mamkute,0x2d7,0x323,0xe,0x1f,0x9,0,0x8f,0x0,0x1f,12,0,0,2,2,2,5,8,60,20,20,20,20,20,20,2,95,40,30,20,0,10,25,0,0,0,0,0,0,0x0,0x0,0x4,0x0,0,0,0,0,0,0,0,0,0x88af0ac,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Mercenary,0x2c6,0x312,0xf,0x11,0xa,0,0x90,0x0,0x3,18,4,8,8,4,0,9,5,60,20,20,20,20,20,20,2,80,40,40,32,18,20,30,0,0,0,0,0,0,0x0,0x0,0x0,0x0,31,0,0,0,0,0,0,0,0x88af0b8,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Mercenary (F),0x2c6,0x312,0x10,0x12,0xb,0,0x90,0x0,0x3,16,3,5,6,2,0,8,5,60,20,20,20,20,20,20,2,80,40,40,32,18,30,30,0,0,0,0,0,0,0x0,0x0,0x0,0x0,31,0,0,0,0,0,0,0,0x88af0c4,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Hero,0x2c7,0x313,0x11,0xf,0xc,0,0x91,0x0,0x4,22,6,9,10,8,2,11,6,60,25,30,26,25,22,25,3,75,30,30,20,20,20,25,4,1,2,2,2,2,0x0,0x1,0x0,0x0,71,0,31,0,0,0,0,0,0x88af0d0,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Hero (F),0x2c7,0x313,0x12,0x10,0xd,0,0x91,0x0,0x4,22,6,10,11,6,3,9,6,60,24,30,26,24,24,25,3,75,30,30,20,20,20,25,0,0,0,0,0,0,0x0,0x1,0x0,0x0,71,0,31,0,0,0,0,0,0x88af0ec,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Swordfighter,0x2c8,0x314,0x13,0x15,0xe,0,0x72,0x0,0x5,16,3,11,11,1,0,8,5,60,20,20,20,20,20,20,2,70,35,40,40,15,20,30,0,0,0,0,0,0,0x0,0x0,0x2,0x0,31,0,0,0,0,0,0,0,0x88af108,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Swordfighter (F),0x2c8,0x314,0x14,0x16,0xf,0,0x72,0x0,0x5,15,3,11,12,1,1,5,5,60,20,20,20,20,20,20,2,70,35,40,40,15,20,30,0,0,0,0,0,0,0x0,0x0,0x2,0x0,31,0,0,0,0,0,0,0,0x88af114,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Swordmaster,0x2c9,0x315,0x15,0x13,0x10,0,0x73,0x0,0x6,21,6,11,10,5,2,9,6,60,24,29,30,22,23,20,3,65,25,30,30,15,22,25,5,2,0,0,2,1,0x40,0x1,0x2,0x0,71,0,0,0,0,0,0,0,0x88af120,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Swordmaster (F),0x2c9,0x315,0x16,0x14,0x11,0,0x73,0x0,0x6,19,6,11,12,4,3,7,6,60,22,29,30,22,25,20,3,65,25,30,30,15,22,25,4,2,1,0,2,1,0x40,0x1,0x2,0x0,71,0,0,0,0,0,0,0,0x88af12c,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Assassin,0x2ca,0x316,0x17,0xd,0x12,0,0x8e,0x0,0x8,16,3,1,9,2,0,8,6,60,20,30,30,20,20,20,3,50,5,45,40,5,20,40,3,1,0,0,2,2,0x8,0x1,0x2,0x2,31,0,0,0,0,0,0,0,0x88af138,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
Assassin (F),0x2ca,0x316,0x18,0xd,0x13,0,0x8e,0x0,0x8,16,3,1,9,2,0,6,6,60,20,30,30,20,20,20,3,50,5,45,40,5,20,40,2,1,1,1,2,1,0x8,0x1,0x2,0x2,31,0,0,0,0,0,0,0,0x88af144,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer,0x2cb,0x317,0x19,0x1b,0x14,0,0x78,0x0,0xa,18,4,3,3,3,0,7,5,60,20,20,20,20,20,20,2,70,35,40,32,15,15,35,0,0,0,0,0,0,0x80,0x0,0x0,0x0,0,0,0,31,0,0,0,0,0x88af150,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer (F),0x2cb,0x317,0x1a,0x1c,0x15,0,0x78,0x0,0xa,17,3,3,4,3,0,5,5,60,20,20,20,20,20,20,2,70,35,40,32,15,20,35,0,0,0,0,0,0,0x80,0x0,0x0,0x0,0,0,0,31,0,0,0,0,0x88af168,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Sniper,0x2cc,0x318,0x1b,0x19,0x16,0,0x79,0x0,0xb,21,7,6,5,5,2,8,6,60,25,30,28,25,23,20,3,65,30,30,20,15,20,30,3,1,2,2,2,3,0x80,0x1,0x0,0x0,0,0,0,71,0,0,0,0,0x88af180,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Sniper (F),0x2cc,0x318,0x1c,0x1a,0x17,0,0x79,0x0,0xb,19,6,6,7,5,3,6,6,60,24,30,29,24,24,20,3,65,30,30,20,15,25,30,4,3,1,1,2,2,0x80,0x1,0x0,0x0,0,0,0,71,0,0,0,0,0x88af198,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Forrest Knight,0x2cd,0x319,0x1d,0x19,0x18,0,0x97,0x0,0xc,21,7,6,7,6,3,9,7,60,25,28,30,24,23,25,3,60,25,30,35,15,15,25,3,2,1,1,3,3,MountedAid|HasCanto,IsPromoted|HorseIcon,0x0,0x0,31,0,0,31,0,0,0,0,0x88af1b0,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0x0
Forrest Knight (F),0x2cd,0x319,0x1e,0x1a,0x18,0,0x97,0x0,0xc,21,6,6,7,5,4,8,7,60,23,28,30,22,25,25,3,60,25,30,35,15,20,25,2,2,2,1,3,3,MountedAid|HasCanto,IsPromoted|HorseIcon,0x0,0x0,31,0,0,31,0,0,0,0,0x88af1c0,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0x0
Dragon Knight,0x2ce,0x31a,0x1f,0x21,0x19,0,0x88,0x0,0xd,20,7,3,5,8,0,10,7,60,20,20,20,20,20,25,2,80,45,35,30,25,15,25,0,0,0,0,0,0,0x3,0x8,0x0,0x0,0,31,0,0,0,0,0,0,0x88af1d0,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Dragon Knight (F),0x2ce,0x31a,0x20,0x22,0x1a,0,0x88,0x0,0xd,19,6,5,5,7,0,9,7,60,20,20,20,20,20,25,2,80,45,35,30,25,17,25,0,0,0,0,0,0,0x3,0x8,0x0,0x0,0,31,0,0,0,0,0,0,0x88af1dc,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Dragon Master,0x2cf,0x31b,0x21,0x1f,0x1b,0,0x89,0x0,0xe,25,9,5,7,10,1,11,8,60,27,25,23,28,22,25,3,75,40,30,20,20,17,20,4,2,2,0,2,0,0x3,0x9,0x40,0x0,31,71,0,0,0,0,0,0,0x88af1e8,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Dragon Master (F),0x2cf,0x31b,0x22,0x20,0x1c,0,0x89,0x0,0xe,24,8,7,7,9,2,10,8,60,25,26,24,27,23,25,3,75,40,30,20,20,17,20,0,0,0,0,0,0,0x3,0x9,0x40,0x0,31,71,0,0,0,0,0,0,0x88af1f8,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Wyvern Knight,0x2d0,0x31c,0x23,0x1f,0x1d,0,0x93,0x0,0xf,20,7,7,8,7,1,10,8,60,25,26,28,24,22,25,3,65,35,30,30,15,17,25,3,1,2,3,0,1,0x3,0x9,0x0,0x0,0,71,0,0,0,0,0,0,0x88af208,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Wyvern Knight (F),0x2d0,0x31c,0x24,0x20,0x1d,0,0x93,0x0,0xf,19,6,8,9,6,2,9,8,60,24,27,29,23,23,25,3,65,35,30,30,15,20,25,3,2,1,2,1,1,0x3,0x9,0x0,0x0,0,71,0,0,0,0,0,0,0x88af214,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Mage,0x2d1,0x31d,0x25,0x27,0x1e,0,0x7c,0x0,0x12,16,1,2,3,3,3,6,5,60,20,20,20,20,20,20,2,55,55,40,35,5,30,20,1,0,1,2,1,2,0x0,0x0,0x0,0x0,0,0,0,0,0,31,0,0,0x88af220,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Mage (F),0x2d1,0x31d,0x26,0x28,0x1f,0,0x7c,0x0,0x12,16,1,3,2,2,4,3,5,60,20,20,20,20,20,20,2,55,55,40,35,5,40,20,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,31,0,0,0x88af234,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Sage,0x2d2,0x31e,0x27,0x25,0x20,0,0x7d,0x0,0x13,20,5,4,4,5,5,7,6,60,28,30,26,21,25,20,3,45,45,30,25,10,40,15,4,1,0,0,3,3,0x0,0x1,0x0,0x0,0,0,0,0,31,71,31,0,0x88af248,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Sage (F),0x2d2,0x31e,0x28,0x26,0x21,0,0x7d,0x0,0x13,19,4,6,5,3,6,4,6,60,30,28,26,21,25,20,3,45,45,30,25,10,40,15,3,1,1,0,3,3,0x0,0x1,0x0,0x0,0,0,0,0,31,71,31,0,0x88af260,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Mage Knight,0x2d3,0x31f,0x29,0x25,0x22,0,0x95,0x0,0x14,20,4,3,5,5,5,8,7,60,24,26,25,24,25,25,3,45,40,30,40,10,40,30,4,2,0,0,2,2,0x3,0x5,0x0,0x0,0,0,0,0,31,71,0,0,0x88af278,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Mage Knight (F),0x2d3,0x31f,0x2a,0x26,0x23,0,0x95,0x0,0x14,19,3,5,6,3,6,6,7,60,25,24,25,24,28,25,3,45,40,30,40,10,40,40,3,2,1,0,2,2,0x3,0x5,0x0,0x0,0,0,0,0,31,71,0,0,0x88af290,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Bishop,0x2d4,0x320,0x2b,0x45,0x24,0,0x7b,0x0,0x18,21,4,4,4,3,8,7,6,60,25,26,24,22,30,20,3,45,35,25,22,8,40,40,3,2,1,0,3,2,0x0,0x1,0x0,0x0,0,0,0,0,71,0,31,0,0x88af2a8,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Bishop (F),0x2d4,0x320,0x2c,0x4a,0x25,0,0x7b,0x0,0x18,19,4,5,4,2,9,5,6,60,25,25,26,21,30,20,3,45,35,25,22,8,50,40,3,1,2,1,2,2,0x0,0x1,0x0,0x0,0,0,0,0,71,0,31,0,0x88af2c0,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Shaman,0x2e1,0x32c,0x2d,0x2f,0x26,1,0x7e,0x0,0x1b,16,2,1,2,2,4,7,5,60,20,20,20,20,20,20,2,50,50,32,30,10,30,20,1,2,0,1,1,2,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,31,0x88af2d8,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Shaman (F),0x2e1,0x32c,0x2e,0x30,0x26,1,0x7e,0x0,0x1b,15,3,1,1,1,5,3,5,60,20,20,20,20,20,20,2,50,45,32,30,10,40,20,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,31,0x88af2ec,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Druid,0x2e2,0x32d,0x2f,0x2d,0x27,1,0x7f,0x0,0x1c,19,6,3,4,4,6,8,6,60,29,26,26,21,28,20,3,45,55,30,25,10,35,20,4,0,0,3,2,2,0x0,0x1,0x0,0x0,0,0,0,0,1,31,0,71,0x88af300,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Druid (F),0x2e2,0x32d,0x30,0x2e,0x27,1,0x7f,0x0,0x1c,17,7,3,4,3,7,4,6,60,29,26,26,20,29,20,3,45,55,30,25,10,35,20,0,0,0,0,0,0,0x0,0x1,0x0,0x0,0,0,0,0,1,31,0,71,0x88af318,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Summoner,0x2e3,0x32e,0x31,0x2d,0x28,0,0x7f,0x0,0x1d,18,5,3,4,3,5,8,6,60,27,27,26,20,28,20,3,45,50,30,25,8,35,20,3,0,1,3,1,3,0x0,0x1,0x0,0x8,0,0,0,0,1,0,0,71,0x88af330,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Summoner (F),0x2e3,0x32e,0x32,0x2e,0x28,0,0x7f,0x0,0x1d,18,5,3,4,3,5,4,6,60,27,27,26,20,28,20,3,45,50,30,25,8,35,20,0,0,0,0,0,0,0x0,0x1,0x0,0x8,0,0,0,0,1,0,0,71,0x88af348,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Rogue,0x2db,0x326,0x33,0xd,0x29,0,0x94,0x0,0x9,16,3,1,9,2,0,7,6,60,20,30,30,20,20,20,3,50,10,45,35,5,20,40,2,1,1,0,2,2,0xc,0x1,0x0,0x0,1,0,0,0,0,0,0,0,0x88af360,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
Gorgon Egg,0x300,0x34c,0x34,0x0,0x2a,0,0xa6,0x0,0x0,50,0,0,0,10,10,6,0,60,30,30,30,30,30,30,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
Great Knight,0x2e0,0x32b,0x35,0x9,0x2b,1,0x96,0x0,0x22,21,8,4,6,11,3,13,6,60,28,24,24,29,25,25,3,70,30,20,15,21,20,20,3,2,1,2,2,1,0x3,0x5,0x0,0x0,1,31,31,0,0,0,0,0,0x88af36c,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Great Knight (F),0x2e0,0x32b,0x36,0xa,0x2b,1,0x96,0x0,0x22,20,6,6,7,9,3,10,6,60,26,26,25,28,26,25,3,70,30,25,20,21,22,20,3,1,1,2,2,2,0x3,0x5,0x0,0x0,1,31,31,0,0,0,0,0,0x88af38c,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Trainee Soldier (2),0x2da,0x332,0x37,0x3a,0x2c,0,0x8a,0x0,0x28,18,5,3,3,6,0,6,5,60,20,20,20,20,20,20,2,75,45,40,40,25,35,40,2,1,1,1,2,1,0x0,0x0,0x0,0x0,0,31,0,0,0,0,0,0,0x88af3ac,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Trainee Fighter (3),0x2d8,0x324,0x38,0x7e,0x2d,0,0x74,0x0,0x27,28,8,5,6,5,0,8,6,60,26,29,28,23,23,20,3,85,55,40,32,18,20,40,4,1,2,2,2,2,0x40,0x1,0x0,0x0,0,0,71,0,0,0,0,0,0x88af3b8,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Trainee Mage (3),0x2d9,0x325,0x39,0x7f,0x2e,0,0x7c,0x0,0x29,20,5,4,4,5,5,5,6,60,29,28,27,21,26,20,3,55,55,40,35,10,30,40,4,2,0,1,3,3,0x0,0x1,0x0,0x0,0,0,0,0,0,71,1,31,0x88af3d0,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Trainee Soldier (3),0x2da,0x332,0x3a,0x37,0x2c,0,0x8a,0x0,0x28,23,6,6,11,7,6,6,6,60,23,30,29,22,26,20,3,75,45,40,40,25,35,40,2,2,1,1,2,1,0x40,0x1,0x0,0x0,0,71,0,0,0,0,0,0,0x88af3e4,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Mamkute,0x2d7,0x323,0x3b,0x1f,0x2f,0,0xa9,0x0,0x1f,20,0,0,2,1,1,25,3,60,20,20,20,20,20,25,2,95,40,30,20,0,10,25,0,0,0,0,0,0,0x0,0x1,0x4,0x0,0,0,0,0,0,0,0,0,0x88af3f0,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Mamkute (F),0x2d7,0x323,0x3c,0x20,0x30,0,0x8f,0x0,0x1f,12,0,0,2,2,2,5,6,60,20,20,20,20,20,20,2,95,40,30,20,0,10,25,0,0,0,0,0,0,0x0,0x0,0x4,0x0,0,0,0,0,0,0,0,0,0x88af3fc,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Trainee Fighter (1),0x2d8,0x324,0x3d,0x0,0x2d,0,0x74,0x0,0x27,14,3,0,1,1,0,8,4,60,20,20,20,20,20,20,1,85,55,40,32,18,20,40,0,0,0,0,0,0,0x0,0x0,0x8,0x0,0,0,1,0,0,0,0,0,0x88af408,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Trainee Mage (1),0x2d9,0x325,0x3e,0x0,0x2e,0,0x7c,0x0,0x29,13,1,0,1,0,3,5,4,60,20,20,20,20,20,20,1,55,55,40,35,10,30,40,0,0,0,0,0,0,0x0,0x0,0x8,0x0,0,0,0,0,0,1,0,0,0x88af420,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Fighter,0x2dc,0x327,0x3f,0x40,0x31,0,0x74,0x0,0x23,20,5,2,4,2,0,11,5,60,20,20,20,20,20,20,2,85,55,35,30,15,15,15,2,2,1,0,0,1,0x0,0x0,0x0,0x0,0,0,31,0,0,0,0,0,0x88af434,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Warrior,0x2dd,0x328,0x40,0x3f,0x32,0,0x75,0x0,0x25,28,8,5,6,5,0,13,6,60,30,28,26,26,22,25,3,80,45,25,20,16,17,15,3,1,2,0,3,3,0x0,0x1,0x0,0x0,0,0,71,Drank,0,0,0,0,0x88af44c,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Mountain Thief,0x2de,0x329,0x41,0x43,0x33,0,0x8b,0x0,0x0,20,5,1,5,3,0,12,5,60,20,20,20,20,20,20,2,82,50,30,20,10,13,15,2,1,1,0,1,1,0x0,0x0,0x0,0x0,0,0,31,0,0,0,0,0,0x88af468,0x880b94d,0x880bd9e,0x880c1ae,0x880c479,0x880c4ba,0x880c4fb,0x0
Pirate,0x2ee,0x33a,0x42,0x43,0x34,0,0x8c,0x0,0x24,19,4,2,6,3,0,10,5,60,20,20,20,20,20,20,2,75,50,35,25,10,13,15,2,2,0,1,1,0,0x0,0x0,0x0,0x0,0,0,31,0,0,0,0,0,0x88af480,0x880b98e,0x880bddf,0x880c1ef,0x880c479,0x880c4ba,0x880c4fb,0x0
Berserker,0x2df,0x32a,0x43,0x42,0x35,0,0x8d,0x0,0x26,24,7,6,7,6,0,13,6,60,30,29,28,23,21,25,3,75,50,35,25,10,13,15,4,1,1,1,2,2,0x40,0x1,0x0,0x0,0,0,71,0,0,0,0,0,0x88af498,0x880b90c,0x880bd5d,0x880c16d,0x880c479,0x880c4ba,0x880c4fb,0x0
